serie,numero,idioma,url,filename,status,message
Artículo de investigación,70,ENG,https://www.palermo.edu/Archivos_content/2025/cele/SEPTIEMBRE/dp_70.pdf,Artículo_de_investigación_70_ENG.pdf,saved,saved
Artículo de investigación,69,ENG,https://www.palermo.edu/Archivos_content/2025/cele/SEPTIEMBRE/dp_69.pdf,Artículo_de_investigación_69_ENG.pdf,saved,saved
Documento de posición,32,ENG,https://www.palermo.edu/Archivos_content/2025/cele/agosto/08_2025_DP32.pdf,Documento_de_posición_32_ENG.pdf,saved,saved
Documento de posición,31,ENG,https://www.palermo.edu/Archivos_content/2025/cele/agosto/08_2025_DP31.pdf,Documento_de_posición_31_ENG.pdf,saved,saved
Documento de posición,30,ENG,https://www.palermo.edu/Archivos_content/2025/cele/agosto/07_2025_DP30.pdf,Documento_de_posición_30_ENG.pdf,saved,saved
Documento de posición,29,ENG,https://www.palermo.edu/Archivos_content/2025/cele/julio/07_2025_DP29.pdf,Documento_de_posición_29_ENG.pdf,saved,saved
Documento de posición,28,ESP,https://www.palermo.edu/Archivos_content/2025/cele/julio/07_2025_DP_28.pdf,Documento_de_posición_28_ESP.pdf,saved,saved
Artículo de investigación,68,ENG,https://www.palermo.edu/Archivos_content/2025/cele/julio/dp_68.pdf,Artículo_de_investigación_68_ENG.pdf,saved,saved
Informe de jurisprudencia,4,ESP,https://www.palermo.edu/Archivos_content/2025/cele/junio/06_2025_DP28.pdf,Informe_de_jurisprudencia_4_ESP.pdf,saved,saved
Informe de jurisprudencia,3,ESP,https://observatoriolegislativocele.com/wp-content/uploads/informe-jurisprudencia-mexico-3.pdf,Informe_de_jurisprudencia_3_ESP.pdf,saved,saved
Informe de jurisprudencia,2,ESP,https://observatoriolegislativocele.com/wp-content/uploads/Informe-jurisprudencia-brasil-n%C2%B02.pdf,Informe_de_jurisprudencia_2_ESP.pdf,saved,saved
Informe legislativo,15,ESP,https://observatoriolegislativocele.com/wp-content/uploads/Informe-legislativo-15-RD.pdf,Informe_legislativo_15_ESP.pdf,saved,saved
